Posting data;Sorting material description;Qyantity;Component quantity;m2;Fault;Fault text;Reason;Reason text;Comment
13.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;3;3;9;F008;Board geometry;140;Bundler / saw cut;
13.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;10;10;31.2;F005;Rippling;50;Paper change;
13.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;30;30;93.6;F002;Poor edges;40;Product change (flying changeover);
13.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;6;6;14;F002;Poor edges;50;Paper change;
13.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;8;8;19;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
14.1.2024 ?.;FR 12.5 1200 2000 HRTE (60) PLS;394;394;945.6;F002;Poor edges;10;Run up / shut down (prod start / end);
14.1.2024 ?.;FR 12.5 1200 2600 TE (60);12;12;37.4;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
14.1.2024 ?.;FR 12.5 1200 2600 TE (60);142;142;443;F002;Poor edges;10;Run up / shut down (prod start / end);
14.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;6;6;18;F003;Hollow edges;10;Run up / shut down (prod start / end);
14.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;10;10;31.2;F002;Poor edges;50;Paper change;
15.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;60;60;144;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
15.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;2;2;4;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
15.1.2024 ?.;FR 12.5 1200 2000 HRTE (60) PLS;102;102;244.8;F002;Poor edges;10;Run up / shut down (prod start / end);
15.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;4;4;12;F005;Rippling;50;Paper change;
15.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;6;6;18;F002;Poor edges;50;Paper change;
15.1.2024 ?.;REG 9.5 1200 2600 TE (80) OWP foil NG;237;237;739.4;F002;Poor edges;10;Run up / shut down (prod start / end);
15.1.2024 ?.;FR 15 1200 2000 HRTE (40);16;16;38.4;F002;Poor edges;50;Paper change;
15.1.2024 ?.;FRMR 12.5 1200 2600 TE (60) 1WP Fol;29;29;90.5;F002;Poor edges;40;Product change (flying changeover);
15.1.2024 ?.;REG 9.5 1200 2600 TE (80);10;10;31.2;F002;Poor edges;50;Paper change;
15.1.2024 ?.;Sonicboard REG 12.5 1200 2000 TE (60);12;12;28;F002;Poor edges;50;Paper change;
16.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;240;240;576;F004;Paper bonding;10;Run up / shut down (prod start / end);
16.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;367;367;880.8;F002;Poor edges;10;Run up / shut down (prod start / end);
16.1.2024 ?.;REG 12.5 1200 2800 HRTE (60) S+B;9;9;30.2;F002;Poor edges;50;Paper change;
16.1.2024 ?.;REG 9.5 1200 2000 HRTE (80) S+B;34;34;81.6;F002;Poor edges;40;Product change (flying changeover);
16.1.2024 ?.;REG 9.5 1200 2000 HRTE (80) S+B;11;11;26;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
16.1.2024 ?.;REG 9.5 1200 2000 HRTE (80) S+B;10;10;24;F008;Board geometry;140;Bundler / saw cut;
16.1.2024 ?.;REG 9.5 1200 2000 TE (80) GS foil NG;6;6;14;F002;Poor edges;50;Paper change;
16.1.2024 ?.;FR 15 1200 2000 HRTE (40);10;10;24;F004;Paper bonding;10;Run up / shut down (prod start / end);
16.1.2024 ?.;FR 15 1200 2000 HRTE (40);12;12;28;F002;Poor edges;50;Paper change;
17.1.2024 ?.;REG 12.5 1200 2800 HRTE (60) S+B;5;5;16;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
17.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;78;78;187.2;F002;Poor edges;10;Run up / shut down (prod start / end);
17.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;7;7;16;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
17.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;16;16;38.4;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
17.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;86;86;206.4;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
17.1.2024 ?.;MR 12.5 1200 2800 HRTE (60) S+B;3;3;10;F003;Hollow edges;40;Product change (flying changeover);
