iter	Logloss
0	0.6500859313
1	0.6082319616
2	0.5695971433
3	0.5359586107
4	0.509635283
5	0.4839868465
6	0.4577559634
7	0.4345195362
8	0.4130579555
9	0.3937430344
10	0.377113637
11	0.3599914882
12	0.3465152095
13	0.3330829817
14	0.3236502041
15	0.3129451285
16	0.3026320502
17	0.2937804008
18	0.2851105678
19	0.2768069191
20	0.2701081119
21	0.2637508304
22	0.2561711835
23	0.2497156544
24	0.2435788581
25	0.2380659008
26	0.232736337
27	0.2276458795
28	0.2231916571
29	0.218571262
30	0.2148381277
31	0.2114370569
32	0.2079281947
33	0.2038656372
34	0.2002066382
35	0.196483479
36	0.1929516933
37	0.18983377
38	0.1867534724
39	0.1840387806
40	0.1813423322
41	0.17871215
42	0.1760295024
43	0.1733864625
44	0.1709273374
45	0.1689489183
46	0.1671145086
47	0.1647502693
48	0.1629044389
49	0.1606935893
50	0.1592037543
51	0.1577475402
52	0.1558379568
53	0.1544556384
54	0.1529928858
55	0.1517992075
56	0.1503015146
57	0.1489649614
58	0.1476753023
59	0.1467871553
60	0.1458138612
61	0.1449175764
62	0.1439456343
63	0.1424399081
64	0.1412750482
65	0.140502167
66	0.1392705872
67	0.1381868058
68	0.1368800874
69	0.1358422483
70	0.1345038912
71	0.1337560563
72	0.1329749281
73	0.1319495335
74	0.1308044809
75	0.1303212223
76	0.1294970376
77	0.1284749067
78	0.1276517828
79	0.1271778481
80	0.1264961262
81	0.1258827183
82	0.125471658
83	0.1244746707
84	0.1235904117
85	0.1230723807
86	0.1226106817
87	0.1216027107
88	0.1207949002
89	0.1202556739
90	0.1198891074
91	0.11954745
92	0.1191267889
93	0.1183286314
94	0.1183285666
95	0.1181623783
96	0.1181479235
97	0.1178089564
98	0.1172581031
99	0.1164278619
100	0.116035639
101	0.11538535
102	0.1149325796
103	0.1147030541
104	0.1140856602
105	0.1135499412
106	0.1131308928
107	0.1124378878
108	0.1117861513
109	0.1115006509
110	0.1112294736
111	0.110530366
112	0.1105113767
113	0.1101144044
114	0.1099874031
115	0.1097011473
116	0.1089624014
117	0.1085695022
118	0.1085290753
119	0.1077956421
120	0.1076138338
121	0.107283945
122	0.1071053333
123	0.1069920423
124	0.1065134119
125	0.1060530129
126	0.1057934885
127	0.1047991446
128	0.104583106
129	0.1041867263
130	0.1036387577
131	0.1036297297
132	0.1033729855
133	0.1030899966
134	0.1026751313
135	0.1026072902
136	0.1022567505
137	0.1018124422
138	0.1015040903
139	0.1012509757
140	0.1012172646
141	0.1008660611
142	0.1003730936
143	0.100034449
144	0.09959913049
145	0.09939396654
146	0.09914859205
147	0.09875639288
148	0.09853015957
149	0.09844516887
150	0.0979704762
151	0.09760674683
152	0.09743369102
153	0.09729970651
154	0.0971143033
155	0.09681224094
156	0.09656230135
157	0.09644750666
158	0.09623085718
159	0.09596333034
160	0.0957155893
161	0.0957142769
162	0.09542820081
163	0.09483950287
164	0.09458571571
165	0.09441609604
166	0.09417813368
167	0.09384260502
168	0.09381901512
169	0.09344825454
170	0.09324378473
171	0.09317328866
172	0.09284721459
173	0.09254981792
174	0.0923294948
175	0.09224504963
176	0.0920214456
177	0.09187698819
178	0.09155432475
179	0.09141270476
180	0.09129384488
181	0.09095295406
182	0.09064065805
183	0.09053056706
184	0.09053056706
185	0.09034604047
186	0.09011502489
187	0.09002759961
188	0.08982346435
189	0.08948020625
190	0.08916848258
191	0.0891526414
192	0.08910115353
193	0.08890082014
194	0.0887033052
195	0.0886877936
196	0.08862135214
197	0.08844602442
198	0.08809758016
199	0.08786652103
200	0.08769452724
201	0.08745664328
202	0.08736526607
203	0.0873652418
204	0.08736523342
205	0.08736523133
206	0.08726080942
207	0.08684290921
208	0.08678447678
209	0.0866832753
210	0.08645445125
211	0.0862068602
212	0.08591892106
213	0.08545905223
214	0.0853083983
215	0.08505033316
216	0.08491779315
217	0.08479952889
218	0.08468665379
219	0.08458281869
220	0.08438255829
221	0.08433873881
222	0.08405737167
223	0.08385241301
224	0.08381611397
225	0.08364943673
226	0.08355053895
227	0.08337298992
228	0.08328381154
229	0.0832776846
230	0.08316623771
231	0.08306741226
232	0.08303297151
233	0.08275068322
234	0.08242330919
235	0.08223713656
236	0.08211925241
237	0.08194176806
238	0.08171227875
239	0.08167670528
240	0.08159382785
241	0.08144709377
242	0.08129842013
243	0.08121475807
244	0.08102494902
245	0.08101374284
246	0.08096939845
247	0.08079155961
248	0.08079155882
249	0.08070732976
250	0.08058598969
251	0.08035652394
252	0.08019623897
253	0.07982305686
254	0.07972110958
255	0.07955580654
256	0.07946648291
257	0.07932877633
258	0.07925164799
259	0.07918704406
260	0.07918703554
261	0.07905351344
262	0.07895029612
263	0.07895029401
264	0.07881102912
265	0.07879618382
266	0.07878368504
267	0.07875040759
268	0.0786292173
269	0.07848239374
270	0.07828556859
271	0.07825032086
272	0.07790956854
273	0.07771722275
274	0.07758537068
275	0.07743647959
276	0.07741544969
277	0.0773604627
278	0.07714293042
279	0.07673462713
280	0.07673462321
281	0.07662419746
282	0.07656114576
283	0.07642061543
284	0.07636147602
285	0.07635393177
286	0.07606536556
287	0.07605285177
288	0.07605284749
289	0.07591243417
290	0.07591243302
291	0.07591054571
292	0.07579229204
293	0.07571385109
294	0.07569192654
295	0.07567873539
296	0.07567544706
297	0.07558899596
298	0.07552711901
299	0.07552711334
300	0.07543042623
301	0.07543042448
302	0.07533789449
303	0.07524243791
304	0.0750119568
305	0.07501133833
306	0.07486159075
307	0.07477979966
308	0.07462190552
309	0.07451676643
310	0.07430598253
311	0.07427341824
312	0.07427341267
313	0.07401570727
314	0.07387923959
315	0.07380493342
316	0.07357148299
317	0.07348684739
318	0.07333517592
319	0.07325047566
320	0.07325016934
321	0.07319977795
322	0.0731701187
323	0.07305865261
324	0.07295628339
325	0.07283380561
326	0.0727764091
327	0.07272689425
328	0.07259832595
329	0.07245922229
330	0.07238894362
331	0.07221382409
332	0.07204870234
333	0.07172748499
334	0.07162415926
335	0.07148427628
336	0.0713181485
337	0.07102701966
338	0.07098827676
339	0.07096280939
340	0.07096280401
341	0.07085003671
342	0.07051487432
343	0.07038955142
344	0.07028470117
345	0.07023228743
346	0.07012071276
347	0.07004253501
348	0.0699151329
349	0.06981169988
350	0.06967266528
351	0.06967266478
352	0.06948827029
353	0.06948782917
354	0.06937489295
355	0.06921445341
356	0.06898529601
357	0.06890193168
358	0.06882994458
359	0.06872907156
360	0.06858858833
361	0.06858858697
362	0.06853618924
363	0.06845769545
364	0.0683445971
365	0.06806955009
366	0.06789230071
367	0.06784248856
368	0.06778233343
369	0.06758703098
370	0.06751648534
371	0.06751137084
