iter	Passed	Remaining
400	34459	51474
401	34552	51398
402	34651	51332
403	34742	51254
404	34841	51187
405	34935	51112
406	35034	51044
407	35133	50978
408	35224	50899
409	35316	50821
410	35402	50735
411	35497	50661
412	35587	50581
413	35684	50509
414	35777	50433
415	35904	50404
416	35996	50325
417	36083	50240
418	36173	50159
419	36264	50080
420	36359	50005
421	36452	49927
422	36546	49851
423	36633	49766
424	36725	49687
425	36814	49604
426	36909	49529
427	36996	49443
428	37102	49382
429	37192	49301
430	37283	49221
431	37378	49146
432	37501	49106
433	37590	49023
434	37685	48948
435	37768	48855
436	37857	48773
437	37952	48696
438	38048	48622
439	38145	48548
440	38231	48461
441	38331	48391
442	38425	48313
443	38519	48236
444	38610	48154
445	38707	48080
446	38802	48003
447	38898	47928
448	38999	47859
449	39092	47780
450	39187	47702
451	39279	47622
452	39373	47543
453	39468	47466
454	39558	47383
455	39648	47299
456	39731	47208
457	39823	47127
458	39914	47045
459	40010	46969
460	40108	46894
461	40202	46816
462	40294	46735
463	40391	46658
464	40485	46580
465	40582	46504
466	40675	46424
467	40771	46346
468	40866	46268
469	40963	46192
470	41056	46112
471	41149	46032
472	41241	45949
473	41332	45867
474	41429	45790
475	41525	45712
476	41625	45639
477	41719	45560
478	41818	45484
479	41910	45402
480	42002	45320
481	42098	45242
482	42193	45163
483	42291	45087
484	42390	45012
485	42481	44928
486	42572	44845
487	42681	44781
488	42778	44703
489	42867	44617
490	42965	44540
491	43055	44456
492	43148	44374
493	43246	44297
494	43345	44220
495	43442	44142
496	43537	44063
497	43636	43986
498	43733	43908
499	43826	43826
500	43922	43746
501	44016	43666
502	44115	43589
503	44210	43508
504	44310	43432
505	44403	43350
506	44502	43273
507	44588	43184
508	44682	43102
509	44781	43024
510	44873	42941
511	44964	42856
512	45057	42773
513	45157	42697
514	45244	42608
515	45334	42522
516	45426	42439
517	45524	42360
518	45618	42278
519	45711	42195
520	45807	42114
521	45902	42033
522	45996	41950
523	46086	41864
524	46182	41784
525	46278	41703
526	46363	41613
527	46460	41532
528	46549	41445
529	46644	41363
530	46738	41281
531	46834	41200
532	46930	41119
533	47020	41032
534	47111	40947
535	47201	40860
536	47287	40771
537	47380	40687
538	47475	40605
539	47569	40522
540	47664	40440
541	47760	40358
542	47851	40272
543	47948	40192
544	48040	40107
545	48140	40028
546	48226	39938
547	48315	39851
548	48408	39767
549	48499	39681
550	48591	39596
551	48683	39510
552	48775	39426
553	48866	39340
554	48956	39253
555	49045	39166
556	49140	39082
557	49232	38997
558	49329	38916
559	49419	38829
560	49518	38749
561	49612	38666
562	49704	38580
563	49806	38502
564	49891	38412
565	49983	38326
566	50083	38246
567	50181	38166
568	50267	38075
569	50357	37989
570	50451	37905
571	50546	37821
572	50642	37738
573	50732	37651
574	50824	37565
575	50921	37484
576	51013	37397
577	51107	37313
578	51197	37226
579	51291	37141
580	51382	37055
581	51477	36971
582	51574	36889
583	51666	36803
584	51759	36717
585	51882	36654
586	51975	36569
587	52074	36487
588	52167	36402
589	52263	36318
590	52363	36238
591	52452	36149
592	52542	36061
593	52637	35977
594	52728	35890
595	52821	35804
596	52911	35717
597	53005	35632
598	53096	35545
599	53188	35458
600	53278	35371
601	53363	35280
602	53457	35194
603	53550	35109
604	53638	35020
605	53731	34934
606	53827	34850
607	53923	34766
608	54010	34676
609	54107	34593
610	54201	34508
611	54292	34420
612	54386	34335
613	54478	34249
614	54573	34163
615	54693	34094
616	54785	34007
617	54874	33919
618	54965	33831
619	55066	33750
620	55160	33665
621	55254	33579
622	55349	33493
623	55444	33408
624	55536	33321
625	55632	33237
626	55728	33152
627	55830	33071
628	55926	32987
629	56019	32900
630	56111	32813
631	56200	32724
632	56295	32638
633	56386	32550
634	56473	32461
635	56566	32374
636	56680	32299
637	56769	32210
638	56863	32124
639	56957	32038
640	57046	31949
641	57149	31868
642	57245	31783
643	57341	31698
644	57442	31615
645	57539	31530
646	57636	31446
647	57732	31361
648	57832	31277
649	57929	31192
650	58020	31104
651	58111	31016
652	58204	30929
653	58295	30841
654	58386	30753
655	58486	30669
656	58579	30582
657	58671	30495
658	58760	30405
659	58848	30316
660	58934	30225
661	59032	30140
662	59128	30054
663	59225	29969
664	59322	29884
665	59408	29793
666	59504	29707
667	59596	29619
668	59692	29533
669	59782	29444
670	59877	29358
671	59968	29270
672	60061	29182
673	60152	29094
674	60251	29009
675	60340	28920
676	60431	28832
677	60531	28747
678	60632	28664
679	60729	28578
680	60824	28491
681	60917	28404
682	61011	28317
683	61100	28227
684	61190	28138
685	61286	28052
686	61377	27963
687	61472	27877
688	61572	27792
689	61667	27705
690	61762	27618
691	61863	27534
692	61957	27447
693	62049	27358
694	62143	27271
695	62239	27185
696	62331	27096
697	62426	27009
698	62520	26922
699	62614	26834
700	62701	26744
701	62798	26658
702	62885	26567
703	62986	26483
704	63085	26397
705	63174	26307
706	63270	26220
707	63365	26133
708	63462	26047
709	63552	25958
710	63648	25871
711	63731	25779
712	63828	25692
713	63927	25606
714	64002	25511
715	64094	25422
716	64184	25333
717	64276	25244
718	64363	25154
719	64458	25067
720	64549	24978
721	64648	24892
722	64739	24803
723	64837	24716
724	64934	24630
725	65023	24540
726	65121	24454
727	65221	24368
728	65314	24279
729	65408	24192
730	65506	24105
731	65596	24016
732	65695	23930
733	65784	23840
734	65881	23753
735	65976	23665
736	66068	23576
737	66166	23489
738	66258	23401
739	66354	23313
740	66442	23223
741	66538	23136
742	66636	23049
743	66736	22963
744	66831	22875
745	66921	22785
746	67011	22695
747	67120	22612
748	67211	22523
749	67306	22435
750	67403	22348
751	67502	22261
752	67606	22176
753	67704	22089
754	67799	22001
755	67912	21918
756	68002	21829
757	68095	21740
758	68185	21650
759	68275	21560
760	68359	21469
761	68448	21378
762	68531	21286
763	68618	21196
764	68708	21106
765	68800	21017
766	68888	20927
767	68978	20837
768	69082	20751
769	69170	20661
770	69260	20571
771	69347	20480
772	69456	20396
773	69550	20308
774	69640	20218
775	69731	20128
776	69821	20038
777	69921	19951
778	70011	19862
779	70107	19773
780	70197	19683
781	70293	19595
782	70387	19507
783	70485	19419
784	70574	19329
785	70666	19239
786	70754	19149
787	70852	19061
788	70945	18972
789	71041	18884
790	71138	18796
791	71230	18707
792	71325	18618
793	71423	18530
794	71516	18441
795	71599	18349
796	71691	18260
797	71790	18172
798	71884	18083
799	71979	17994
800	72072	17905
801	72169	17817
802	72258	17727
803	72353	17638
804	72445	17548
805	72535	17458
806	72638	17372
807	72736	17283
808	72826	17193
809	72924	17105
810	73015	17015
811	73113	16927
812	73206	16838
813	73300	16749
814	73396	16660
815	73493	16572
816	73588	16483
817	73686	16394
818	73773	16304
819	73874	16216
820	73974	16128
821	74064	16038
822	74161	15949
